ID,Title,Link,Team,Project,Milestone,Release,Completed,Pillar,OKR_primary,OKR_link,OKR_secondary,Investment,Effort,Priority,Labels
PRO-57,Fix gradient contrast on homepage,https://linear.app/ditto-care/issue/PRO-57/fix-gradient-contrast-on-homepage,Product,UI / LEGO maintenance,,1.8.4;1.9.0,2026-04-08,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,1.8.4;1.9.0
PRO-63,Android (and iOS Lego update) UI polish,https://linear.app/ditto-care/issue/PRO-63/android-and-ios-lego-update-ui-polish,Product,UI / LEGO maintenance,,,2026-04-08,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,design-polish
PRO-87,Cannot set Profile to Shared after setting it to private,https://linear.app/ditto-care/issue/PRO-87/cannot-set-profile-to-shared-after-setting-it-to-private,Product,Care Circle V2,P1 - Enhanced Profiles,1.9.0,2026-04-08,Connection,O2-KR3,Project-mapped,O2-KR4,Bug fix,S,High,Bug;1.9.0
PRO-89,Update color styles LEGO,https://linear.app/ditto-care/issue/PRO-89/update-color-styles-lego,Product,UI / LEGO maintenance,,,2026-04-08,Fundamentals,—,None (BAU/foundational),,Design system,XS,No priority,
PRO-92,Fix: text alignment on video's in video carousel,https://linear.app/ditto-care/issue/PRO-92/fix-text-alignment-on-videos-in-video-carousel,Product,Dedicated Discover Tab,,,2026-04-08,Convenience,O2-KR2,Project-mapped,O2-KR2,Bug fix,XS,Medium,
PRO-102,Replace onboarding 1st screen image,https://linear.app/ditto-care/issue/PRO-102/replace-onboarding-1st-screen-image,Product,UI / LEGO maintenance,,,2026-04-09,Fundamentals,—,None (BAU/foundational),,Content/creative,S,No priority,
PRO-21,QA: Verify background recording works correctly,https://linear.app/ditto-care/issue/PRO-21/qa-verify-background-recording-works-correctly,Product,(none),,1.8.4,2026-04-09,Convenience,O2-KR2,Inferred,,Team/internal ops,M,High,must-ship;1.8.4
PRO-27,Set up L.E.G.O. component library,https://linear.app/ditto-care/issue/PRO-27/set-up-lego-component-library,Product,(none),,,2026-04-09,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,
PRO-66,Define glass components in lego,https://linear.app/ditto-care/issue/PRO-66/define-glass-components-in-lego,Product,(none),,,2026-04-09,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,
PRO-67,Set calendar push feature flag to 100%,https://linear.app/ditto-care/issue/PRO-67/set-calendar-push-feature-flag-to-100percent,Product,Calendar Integration,Push Integration,,2026-04-09,Convenience,O2-KR2,Linear-linked,O2-KR4,Process/tooling,S,High,
PRO-84,Review current glass implementation,https://linear.app/ditto-care/issue/PRO-84/review-current-glass-implementation,Product,Move to Liquid Glass UI (iOS 26+),,,2026-04-09,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,
PRO-88,"Update ""carepath"" icon on iOS new glass Tabbar",https://linear.app/ditto-care/issue/PRO-88/update-carepath-icon-on-ios-new-glass-tabbar,Product,(none),,1.9.0,2026-04-09,Connection,O2-KR3,Inferred,,Design system,XS,No priority,must-ship;1.9.0
PRO-90,"[iOS, Android] Share button appears only on the Home screen and in CarePath for summaries created from a recording.",https://linear.app/ditto-care/issue/PRO-90/ios-android-share-button-appears-only-on-the-home-screen-and-in,Product,UI / LEGO maintenance,,1.9.0,2026-04-09,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,1.9.0
PRO-98,Discover Tab + Coordinator + Screen Shell,https://linear.app/ditto-care/issue/PRO-98/discover-tab-coordinator-screen-shell,Product,Dedicated Discover Tab,,,2026-04-09,Convenience,O2-KR2,Project-mapped,O2-KR2,New feature,L,Medium,Feature
PRO-100,"[Android] In the profile, the Share and Private buttons extend beyond the edges or appear visually unpolished when clicked.",https://linear.app/ditto-care/issue/PRO-100/android-in-the-profile-the-share-and-private-buttons-extend-beyond-the,Product,Care Circle V2,P1 - Enhanced Profiles,1.9.0,2026-04-10,Connection,O2-KR3,Project-mapped,O2-KR4,Bug fix,S,High,1.9.0
PRO-104,Language settings screen: Fix interaction behaviour on input field tap,https://linear.app/ditto-care/issue/PRO-104/language-settings-screen-fix-interaction-behaviour-on-input-field-tap,Product,UI / LEGO maintenance,,1.9.0,2026-04-10,Fundamentals,O1-KR3,Project-mapped,,Bug fix,S,No priority,Bug;1.9.0
PRO-140,Fix grammar in api/config.py comment,https://linear.app/ditto-care/issue/PRO-140/fix-grammar-in-apiconfigpy-comment,Product,(none),,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Bug fix,XS,Low,Bug
PRO-28,Implement deep linking on website,https://linear.app/ditto-care/issue/PRO-28/implement-deep-linking-on-website,Product,(none),,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Team/internal ops,S,No priority,
PRO-33,Implement domain map,https://linear.app/ditto-care/issue/PRO-33/implement-domain-map,Product,(none),,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Infra/platform,M,No priority,
PRO-34,Automatic fallback to alternative AI providers,https://linear.app/ditto-care/issue/PRO-34/automatic-fallback-to-alternative-ai-providers,Product,AI Quality — Tune Evals and Guardrails,Guardrails and fallback infrastructure ready,,2026-04-13,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,No priority,ai;backend;Feature
PRO-59,Initialize Google AI provider and register as fallback,https://linear.app/ditto-care/issue/PRO-59/initialize-google-ai-provider-and-register-as-fallback,Product,AI Quality — Tune Evals and Guardrails,Google provider live as fallback,,2026-04-13,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,High,ai;backend;Feature
PRO-68,Design default preferences and settings menu,https://linear.app/ditto-care/issue/PRO-68/design-default-preferences-and-settings-menu,Product,Calendar Integration,Push Integration,,2026-04-13,Convenience,O2-KR2,Linear-linked,O2-KR4,Team/internal ops,M,Medium,
PRO-85,Rework appointment card: properties instead of variants,https://linear.app/ditto-care/issue/PRO-85/rework-appointment-card-properties-instead-of-variants,Product,UI / LEGO maintenance,,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Improvement,M,No priority,
PRO-94,Delete user,https://linear.app/ditto-care/issue/PRO-94/delete-user,Product,(none),,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,M,Urgent,
PRO-96,Map out effect styles (shadows) -> migrate from Patient Mobile App library to Token Library,https://linear.app/ditto-care/issue/PRO-96/map-out-effect-styles-shadows-migrate-from-patient-mobile-app-library,Product,UI / LEGO maintenance,,,2026-04-13,Fundamentals,—,None (BAU/foundational),,Research/discovery,S,No priority,
PRO-110,Create 3 pregnancy assets for the Ditto slideshow,https://linear.app/ditto-care/issue/PRO-110/create-3-pregnancy-assets-for-the-ditto-slideshow,Product,Website | lead generation pages,,,2026-04-14,Convenience,O2-KR2,Linear-linked,O2-KR1,Content/creative,S,No priority,
PRO-17,Sync backend data to Customer.IO,https://linear.app/ditto-care/issue/PRO-17/sync-backend-data-to-customerio,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-04-14,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,L,High,
PRO-22,Remove Auth0 user IDs from Mixpanel events,https://linear.app/ditto-care/issue/PRO-22/remove-auth0-user-ids-from-mixpanel-events,Product,(none),,,2026-04-14,Fundamentals,—,None (BAU/foundational),,Analytics/tracking,L,High,must-ship
PRO-91,Remove MailChimp integration from user-service and backfill all users to Customer.io,https://linear.app/ditto-care/issue/PRO-91/remove-mailchimp-integration-from-user-service-and-backfill-all-users,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-04-14,Convenience,O2-KR2,Project-mapped,O2-KR4,Lifecycle/CRM,M,High,backend
PRO-111,Add pregnancy video + testimonials,https://linear.app/ditto-care/issue/PRO-111/add-pregnancy-video-testimonials,Product,Website | lead generation pages,,,2026-04-15,Convenience,O2-KR2,Linear-linked,O2-KR1,Content/creative,S,No priority,
PRO-115,Add Dutch translations,https://linear.app/ditto-care/issue/PRO-115/add-dutch-translations,Product,Website | lead generation pages,,,2026-04-15,Convenience,O2-KR2,Linear-linked,O2-KR1,Content/creative,S,No priority,
PRO-127,Remove Auth0 id from login event,https://linear.app/ditto-care/issue/PRO-127/remove-auth0-id-from-login-event,Product,(none),,1.9.1,2026-04-15,Fundamentals,—,None (BAU/foundational),,Infra/platform,M,No priority,must-ship;1.9.1
PRO-130,Implement window based fallback logic,https://linear.app/ditto-care/issue/PRO-130/implement-window-based-fallback-logic,Product,(none),,,2026-04-15,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-145,Onboarding welcome screen adjusments,https://linear.app/ditto-care/issue/PRO-145/onboarding-welcome-screen-adjusments,Product,(none),,1.9.1,2026-04-15,Convenience,O2-KR2,Inferred,,Team/internal ops,S,No priority,1.9.1
PRO-30,Process user deletion request,https://linear.app/ditto-care/issue/PRO-30/process-user-deletion-request,Product,(none),,,2026-04-15,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,High,maintenance
PRO-36,Add intent questions in onboarding,https://linear.app/ditto-care/issue/PRO-36/add-intent-questions-in-onboarding,Product,Improved analytics data on personas and life moment audiences,,,2026-04-15,Fundamentals,O2-KR4,Linear-linked,O2-KR2,New feature,M,No priority,
PRO-128,App must support 16 KB memory page sizes,https://linear.app/ditto-care/issue/PRO-128/app-must-support-16-kb-memory-page-sizes,Product,(none),,1.9.1,2026-04-16,Fundamentals,—,None (BAU/foundational),,Infra/platform,M,Urgent,must-ship;1.9.1
PRO-129,Implement default preferences and and settings menu,https://linear.app/ditto-care/issue/PRO-129/implement-default-preferences-and-and-settings-menu,Product,Calendar Integration,,1.9.1,2026-04-16,Convenience,O2-KR2,Linear-linked,O2-KR4,Team/internal ops,M,No priority,1.9.1
PRO-131,Build survey: standard feedback form,https://linear.app/ditto-care/issue/PRO-131/build-survey-standard-feedback-form,Product,Implement Survicate,,,2026-04-16,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,S,High,
PRO-132,Refactor views used in scroll area to supports dynamic size,https://linear.app/ditto-care/issue/PRO-132/refactor-views-used-in-scroll-area-to-supports-dynamic-size,Product,(none),,1.9.1,2026-04-16,Fundamentals,—,None (BAU/foundational),,Maintenance,S,No priority,maintenance;1.9.1
PRO-69,Calendar push - default option,https://linear.app/ditto-care/issue/PRO-69/calendar-push-default-option,Product,Calendar Integration,Push Integration,1.9.1,2026-04-16,Convenience,O2-KR2,Linear-linked,O2-KR4,Team/internal ops,M,Medium,1.9.1
PRO-71,"Event Pipeline — Observability, Retry Logic & M2M Pull Endpoints",https://linear.app/ditto-care/issue/PRO-71/event-pipeline-observability-retry-logic-and-m2m-pull-endpoints,Product,Customer.io — Marketing Automation & Push Notifications,,,2026-04-16,Convenience,O2-KR2,Project-mapped,O2-KR4,Infra/platform,M,High,backend
PRO-93,Care Circle: Change copy invitation buttons,https://linear.app/ditto-care/issue/PRO-93/care-circle-change-copy-invitation-buttons,Product,Care Circle 3.0,Low hanging UX fixes,,2026-04-16,Connection,O2-KR3,Linear-linked,O2-KR4,Team/internal ops,XS,No priority,
PRO-97,Full-Screen Video Views + Navigation Wiring,https://linear.app/ditto-care/issue/PRO-97/full-screen-video-views-navigation-wiring,Product,Dedicated Discover Tab,,1.9.1,2026-04-16,Convenience,O2-KR2,Project-mapped,O2-KR2,Content/creative,L,Medium,Feature;1.9.1
PRO-101,Add new appointment: update FTU bottom sheet,https://linear.app/ditto-care/issue/PRO-101/add-new-appointment-update-ftu-bottom-sheet,Product,Calendar Integration,,1.9.1,2026-04-17,Convenience,O2-KR2,Linear-linked,O2-KR4,Team/internal ops,M,No priority,1.9.1
PRO-113,Create e-mail campaign in Customer io,https://linear.app/ditto-care/issue/PRO-113/create-e-mail-campaign-in-customer-io,Product,Care Circle 3.0,,,2026-04-17,Connection,O2-KR3,Linear-linked,O2-KR4,Lifecycle/CRM,S,No priority,
PRO-134,"Build survey: ""Why didn't you record your appointment?""",https://linear.app/ditto-care/issue/PRO-134/build-survey-why-didnt-you-record-your-appointment,Product,Implement Survicate,,,2026-04-17,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,S,High,
PRO-135,Build survey: Care Circle activation — why haven't you invited anyone?,https://linear.app/ditto-care/issue/PRO-135/build-survey-care-circle-activation-why-havent-you-invited-anyone,Product,Implement Survicate,,,2026-04-17,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,S,High,
PRO-146,Update pdf and link of privacy policy in app,https://linear.app/ditto-care/issue/PRO-146/update-pdf-and-link-of-privacy-policy-in-app,Product,(none),,1.9.1,2026-04-17,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,Urgent,1.9.1
PRO-161,[Android] Incorrect text displayed in the confirmation dialog when deleting a question.,https://linear.app/ditto-care/issue/PRO-161/android-incorrect-text-displayed-in-the-confirmation-dialog-when,Product,(none),,1.9.1,2026-04-17,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,Bug;1.9.1
PRO-162,"Fix unhealthy services in Medior dev workspace (ai-core, user-service, care-circle)",https://linear.app/ditto-care/issue/PRO-162/fix-unhealthy-services-in-medior-dev-workspace-ai-core-user-service,Product,Security Improvements,,,2026-04-17,Fundamentals,—,None (BAU/foundational),,Bug fix,S,Medium,Bug
PRO-82,Update Privacy Policy for customer.io,https://linear.app/ditto-care/issue/PRO-82/update-privacy-policy-for-customerio,Product,(none),,,2026-04-17,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,M,Urgent,must-ship
PRO-9,Discovery tab - dev ready,https://linear.app/ditto-care/issue/PRO-9/discovery-tab-dev-ready,Product,Dedicated Discover Tab,,,2026-04-17,Convenience,O2-KR2,Project-mapped,O2-KR2,Research/discovery,L,Medium,
PRO-147,Add message in notification center of new privacy policy,https://linear.app/ditto-care/issue/PRO-147/add-message-in-notification-center-of-new-privacy-policy,Product,(none),,1.9.1,2026-04-18,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,Urgent,1.9.1
PRO-151,Fix stacked cards interaction (shared with you),https://linear.app/ditto-care/issue/PRO-151/fix-stacked-cards-interaction-shared-with-you,Product,(none),,1.9.1,2026-04-18,Connection,O2-KR3,Inferred,,Bug fix,S,No priority,design-polish;1.9.1
PRO-103,Clean-up Ready for dev: replace with LEGO and latest status,https://linear.app/ditto-care/issue/PRO-103/clean-up-ready-for-dev-replace-with-lego-and-latest-status,Product,UI / LEGO maintenance,,,2026-04-20,Fundamentals,—,None (BAU/foundational),,Design system,M,No priority,
PRO-138,Optimise Assets export to reduce image sizes,https://linear.app/ditto-care/issue/PRO-138/optimise-assets-export-to-reduce-image-sizes,Product,(none),,1.9.1,2026-04-20,Fundamentals,—,None (BAU/foundational),,Design system,M,No priority,1.9.1
PRO-158,Update all assets with compressed versions,https://linear.app/ditto-care/issue/PRO-158/update-all-assets-with-compressed-versions,Product,(none),,1.9.1,2026-04-20,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,1.9.1
PRO-171,Publish DDD and Code Complete skills,https://linear.app/ditto-care/issue/PRO-171/publish-ddd-and-code-complete-skills,Product,(none),,,2026-04-20,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-178,Remove restriction on requiring email activation in Auth0,https://linear.app/ditto-care/issue/PRO-178/remove-restriction-on-requiring-email-activation-in-auth0,Product,Migrate Away from Auth0,,,2026-04-20,Fundamentals,O2-KR3,Linear-linked,O1-KR4,Infra/platform,S,No priority,
PRO-186,Cleanup terraform for fallbacks,https://linear.app/ditto-care/issue/PRO-186/cleanup-terraform-for-fallbacks,Product,(none),,,2026-04-20,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-81,Do not handle all Dittocare.com links,https://linear.app/ditto-care/issue/PRO-81/do-not-handle-all-dittocarecom-links,Product,(none),,1.9.1,2026-04-20,Fundamentals,—,None (BAU/foundational),,Maintenance,S,No priority,maintenance;1.9.1
PRO-99,Discover Screen Content Sections,https://linear.app/ditto-care/issue/PRO-99/discover-screen-content-sections,Product,Dedicated Discover Tab,,1.9.1,2026-04-20,Convenience,O2-KR2,Project-mapped,O2-KR2,New feature,L,Medium,Feature;1.9.1
PRO-106,Revise copy shared invitation,https://linear.app/ditto-care/issue/PRO-106/revise-copy-shared-invitation,Product,Care Circle 3.0,Low hanging UX fixes,,2026-04-21,Connection,O2-KR3,Linear-linked,O2-KR4,Improvement,XS,High,Improvement
PRO-116,Fix `follower_count_after` instrumentation — must return numeric values,https://linear.app/ditto-care/issue/PRO-116/fix-follower-count-after-instrumentation-must-return-numeric-values,Product,Care Circle 3.0,Small bets,,2026-04-21,Connection,O2-KR3,Linear-linked,O2-KR4,Bug fix,S,Urgent,Bug
PRO-117,Refine Porygon data: segment active users without care circle engagement,https://linear.app/ditto-care/issue/PRO-117/refine-porygon-data-segment-active-users-without-care-circle,Product,Care Circle 3.0,Small bets,,2026-04-21,Connection,O2-KR3,Linear-linked,O2-KR4,Analytics/tracking,S,High,
PRO-133,Add final feedback to Brand lead vacancy + post on Homerun / Linkedin,https://linear.app/ditto-care/issue/PRO-133/add-final-feedback-to-brand-lead-vacancy-post-on-homerun-linkedin,Product,(none),,,2026-04-21,Fundamentals,—,None (BAU/foundational),,Team/internal ops,S,No priority,Operations
PRO-167,Feature flag experiment with auto-adding follow request,https://linear.app/ditto-care/issue/PRO-167/feature-flag-experiment-with-auto-adding-follow-request,Product,Care Circle 3.0,Small bets,1.9.3,2026-04-21,Connection,O2-KR3,Linear-linked,O2-KR4,Process/tooling,S,High,1.9.3
PRO-172,Explore Claude design,https://linear.app/ditto-care/issue/PRO-172/explore-claude-design,Product,(none),,,2026-04-21,Clarity,O2-KR4,Inferred,,Research/discovery,S,No priority,ai
PRO-173,Explore Claude design,https://linear.app/ditto-care/issue/PRO-173/explore-claude-design,Product,(none),,,2026-04-21,Fundamentals,—,None (BAU/foundational),,Research/discovery,S,Medium,
PRO-23,Update Privacy Policy for Mixpanel data processing,https://linear.app/ditto-care/issue/PRO-23/update-privacy-policy-for-mixpanel-data-processing,Product,(none),,,2026-04-21,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,L,Medium,must-ship
PRO-143,Editable summaries,https://linear.app/ditto-care/issue/PRO-143/editable-summaries,Product,(none),,,2026-04-22,Clarity,O2-KR4,Inferred,,New feature,L,High,Feature
PRO-141,Check Even In,https://linear.app/ditto-care/issue/PRO-141/check-even-in,Product,(none),,1.9.3,2026-04-23,Fundamentals,—,None (BAU/foundational),,Release ops,M,Urgent,must-ship;1.9.3
PRO-215,Update DTL Colors,https://linear.app/ditto-care/issue/PRO-215/update-dtl-colors,Product,(none),,,2026-04-23,Fundamentals,—,None (BAU/foundational),,Design system,XS,No priority,
PRO-219,Add Skip button to CalendarSyncExplanationScreen (appointment FTUE),https://linear.app/ditto-care/issue/PRO-219/add-skip-button-to-calendarsyncexplanationscreen-appointment-ftue,Product,(none),,1.9.4,2026-04-23,Convenience,O2-KR2,Inferred,,New feature,S,No priority,1.9.4
PRO-65,Implement persona + intent onboarding screens,https://linear.app/ditto-care/issue/PRO-65/implement-persona-intent-onboarding-screens,Product,(none),,1.9.4,2026-04-23,Convenience,O2-KR2,Inferred,,New feature,M,No priority,1.9.4
PRO-181,"Align ""Body 4"" typography in implementation",https://linear.app/ditto-care/issue/PRO-181/align-body-4-typography-in-implementation,Product,(none),,,2026-04-24,Fundamentals,—,None (BAU/foundational),,Design system,XS,No priority,mobile;design-polish
PRO-191,Resolve dead end for unanswered Care Circle follow-back request,https://linear.app/ditto-care/issue/PRO-191/resolve-dead-end-for-unanswered-care-circle-follow-back-request,Product,Care Circle 3.0,Low hanging UX fixes,,2026-04-24,Connection,O2-KR3,Linear-linked,O2-KR4,Bug fix,S,High,mobile
PRO-207,Trigger Questions library on Event Detail Page,https://linear.app/ditto-care/issue/PRO-207/trigger-questions-library-on-event-detail-page,Product,(none),,,2026-04-27,Clarity,O2-KR4,Inferred,,Bug fix,S,No priority,Bug
PRO-208,Carepath overview empty state doesn't match designs,https://linear.app/ditto-care/issue/PRO-208/carepath-overview-empty-state-doesnt-match-designs,Product,(none),,,2026-04-27,Connection,O2-KR3,Inferred,,Bug fix,S,No priority,design-polish
PRO-166,Align/Update Dialog overlays,https://linear.app/ditto-care/issue/PRO-166/alignupdate-dialog-overlays,Product,(none),,1.9.5,2026-04-28,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,design-polish;mobile;Bug;1.9.5
PRO-176,"Add ""Clear all” button in notification center",https://linear.app/ditto-care/issue/PRO-176/add-clear-all-button-in-notification-center,Product,(none),,,2026-04-28,Convenience,O2-KR2,Inferred,,Improvement,S,Medium,design-polish
PRO-188,Add Mixpanel integration to event-adapter (forward summary/categorized to Mixpanel),https://linear.app/ditto-care/issue/PRO-188/add-mixpanel-integration-to-event-adapter-forward-summarycategorized,Product,Improved analytics data on personas and life moment audiences,Langfuse → Mixpanel Integration,,2026-04-28,Fundamentals,O2-KR4,Linear-linked,O2-KR2,Analytics/tracking,L,High,backend;Feature
PRO-190,Define scenarios for showing Survicate surveys,https://linear.app/ditto-care/issue/PRO-190/define-scenarios-for-showing-survicate-surveys,Product,Implement Survicate,,,2026-04-28,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,L,High,Feature
PRO-206,Adjust Dutch copy of Home carrousel card labels,https://linear.app/ditto-care/issue/PRO-206/adjust-dutch-copy-of-home-carrousel-card-labels,Product,(none),,,2026-04-28,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,Bug
PRO-227,Video of Ditto in 1 minute not clickable [user issue],https://linear.app/ditto-care/issue/PRO-227/video-of-ditto-in-1-minute-not-clickable-user-issue,Product,Calendar Integration,,1.9.5,2026-04-28,Convenience,O2-KR2,Linear-linked,O2-KR4,Bug fix,S,High,Bug;1.9.5
PRO-228,Discover tab: menzis URL is broken on prod,https://linear.app/ditto-care/issue/PRO-228/discover-tab-menzis-url-is-broken-on-prod,Product,(none),,1.9.5,2026-04-28,Convenience,O2-KR2,Inferred,,Bug fix,S,Urgent,Bug;must-ship;1.9.5
PRO-26,Fix UI/UX annoyances and minor bugs,https://linear.app/ditto-care/issue/PRO-26/fix-uiux-annoyances-and-minor-bugs,Product,(none),,,2026-04-28,Fundamentals,—,None (BAU/foundational),,Bug fix,L,No priority,must-ship
PRO-142,Understand care circle data better,https://linear.app/ditto-care/issue/PRO-142/understand-care-circle-data-better,Product,Care Circle 3.0,,,2026-04-29,Connection,O2-KR3,Linear-linked,O2-KR4,Improvement,M,No priority,Improvement
PRO-189,Investigate whether webhook issue is on Survicate or Customer.io side,https://linear.app/ditto-care/issue/PRO-189/investigate-whether-webhook-issue-is-on-survicate-or-customerio-side,Product,Implement Survicate,,,2026-04-29,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,L,No priority,Feature
PRO-223,Figure out ownership over User Panel,https://linear.app/ditto-care/issue/PRO-223/figure-out-ownership-over-user-panel,Product,Implement Survicate,,,2026-04-29,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Team/internal ops,S,No priority,
PRO-225,"Implement: Add ""Clear all"" button in notification center",https://linear.app/ditto-care/issue/PRO-225/implement-add-clear-all-button-in-notification-center,Product,(none),,1.9.5,2026-04-29,Convenience,O2-KR2,Inferred,,Improvement,S,No priority,design-polish;mobile;1.9.5
PRO-230,Update embedded privacy policy PDF (NL + EN),https://linear.app/ditto-care/issue/PRO-230/update-embedded-privacy-policy-pdf-nl-en,Product,(none),,,2026-04-29,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,High,must-ship
PRO-233,Introduce ToastCoordinator (global toast over hit-test-transparent window),https://linear.app/ditto-care/issue/PRO-233/introduce-toastcoordinator-global-toast-over-hit-test-transparent,Product,(none),,,2026-04-29,Fundamentals,—,None (BAU/foundational),,Design system,S,Medium,mobile
PRO-234,"Share appointment description, notes & questions via Care Circle",https://linear.app/ditto-care/issue/PRO-234/share-appointment-description-notes-and-questions-via-care-circle,Product,Care Circle 3.0,Low hanging UX fixes,,2026-04-29,Connection,O2-KR3,Linear-linked,O2-KR4,Improvement,S,High,Improvement
PRO-235,Shadows in the app,https://linear.app/ditto-care/issue/PRO-235/shadows-in-the-app,Product,(none),,1.9.5,2026-04-29,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,1.9.5
PRO-243,Make sure that Porygon has access to Adjust.,https://linear.app/ditto-care/issue/PRO-243/make-sure-that-porygon-has-access-to-adjust,Product,(none),,,2026-04-29,Fundamentals,—,None (BAU/foundational),,Analytics/tracking,S,No priority,
PRO-244,CIO + SURV: Enable Ambassador Program Attribute,https://linear.app/ditto-care/issue/PRO-244/cio-surv-enable-ambassador-program-attribute,Product,(none),,,2026-04-29,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,S,No priority,
